bytes,h2d_bandwidth,d2h_bandwidth
1,176510,170515
2,356265,346266
4,709346,697642
8,1.41947e+06,1.36228e+06
16,2.56447e+06,2.7425e+06
32,5.7743e+06,5.57064e+06
64,1.10976e+07,1.09243e+07
128,2.27819e+07,2.21224e+07
256,4.5099e+07,3.4965e+07
512,8.94886e+07,7.53262e+07
1024,1.7567e+08,1.48716e+08
2048,3.32667e+08,3.48489e+08
4096,6.05532e+08,6.85225e+08
8192,1.00449e+09,1.3156e+09
16384,1.46972e+09,2.37553e+09
32768,3.39424e+09,4.01136e+09
65536,5.32913e+09,6.15946e+09
131072,7.50664e+09,8.37628e+09
262144,9.30701e+09,1.01792e+10
524288,1.05689e+10,1.15047e+10
1048576,1.1249e+10,1.22216e+10
2097152,1.17236e+10,1.2672e+10
4194304,1.19619e+10,1.29139e+10
8388608,1.20626e+10,1.30296e+10
16777216,1.21446e+10,1.31015e+10
33554432,1.2181e+10,1.31392e+10
67108864,1.22061e+10,1.31588e+10
134217728,1.22101e+10,1.31655e+10
268435456,1.22185e+10,1.31694e+10
536870912,1.22211e+10,1.3171e+10
1073741824,1.22239e+10,1.31728e+10
2147483648,1.22228e+10,1.31737e+10
